arm,condition,treatment_message_id,model,model_family,prompt_variant_number,treatment_message_word_count,valence_correct,gender,age,age_band,education,party_affiliation,political_party,political_ideology,political_knowledge,confinement-1,confinement-2-reversed,confinement-3,confinement-4,confinement_mean
Message 67,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_3,Qwen1.5-14B,Qwen1.5,3.0,262.0,1.0,Female,54,45-59,Graduate degree,Strong Republican,4,4,3,51.0,57.0,57.0,48.0,53.25
Control,control,,,,,,,Female,65,60+,High school diploma,Strong Democrat,0,1,1,85.0,15.0,35.0,80.0,53.75
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,49,45-59,Graduate degree,Moderate Republican,3,1,2,100.0,100.0,90.0,87.0,94.25
Control,control,,,,,,,Male,52,45-59,4-year college,Moderate Republican,3,3,3,80.0,20.0,20.0,20.0,35.0
Message 26,AI,ban_solitary_confinement_juveniles_pythia-2.8b_1,pythia-2.8b,pythia,1.0,193.0,0.0,Non-binary / third gender,51,45-59,High school diploma,Moderate Democrat,1,1,3,10.0,10.0,5.0,10.0,8.75
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,53,45-59,4-year college,Moderate Democrat,1,1,3,24.0,22.0,74.0,66.0,46.5
Control,control,,,,,,,Female,51,45-59,2-year college,Moderate Democrat,1,1,3,25.0,25.0,80.0,25.0,38.75
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,52,45-59,4-year college,Independent,2,2,3,100.0,100.0,100.0,100.0,100.0
Message 26,AI,ban_solitary_confinement_juveniles_pythia-2.8b_1,pythia-2.8b,pythia,1.0,193.0,0.0,Female,23,18-29,4-year college,Strong Democrat,0,1,0,18.0,56.0,36.0,51.0,40.25
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Male,36,30-44,Technical certification or trade school,Independent,2,2,3,86.0,80.0,50.0,68.0,71.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,18,18-29,High school diploma,Moderate Democrat,1,1,3,80.0,80.0,40.0,20.0,55.0
Control,control,,,,,,,Female,49,45-59,Technical certification or trade school,Moderate Republican,3,3,1,100.0,100.0,100.0,100.0,100.0
Control,control,,,,,,,Non-binary / third gender,22,18-29,4-year college,Moderate Democrat,1,0,1,0.0,0.0,0.0,0.0,0.0
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,26,18-29,4-year college,Moderate Democrat,1,1,1,90.0,90.0,90.0,90.0,90.0
Message 54,AI,ban_solitary_confinement_juveniles_pythia-1.4b_1,pythia-1.4b,pythia,1.0,98.0,0.0,Male,41,30-44,High school diploma,Moderate Democrat,1,0,2,30.0,30.0,10.0,75.0,36.25
Message 65,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_1,Qwen1.5-14B,Qwen1.5,1.0,266.0,1.0,Male,63,60+,Graduate degree,Independent,2,3,3,90.0,90.0,45.0,20.0,61.25
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,29,18-29,2-year college,Strong Democrat,0,0,3,8.0,8.0,50.0,14.0,20.0
Message 55,AI,ban_solitary_confinement_juveniles_pythia-12b_1,pythia-12b,pythia,1.0,316.0,0.0,Male,34,30-44,4-year college,Moderate Republican,3,4,1,24.0,18.0,29.0,62.0,33.25
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Female,33,30-44,Technical certification or trade school,Moderate Republican,3,2,3,0.0,0.0,0.0,100.0,25.0
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Female,51,45-59,4-year college,Moderate Democrat,1,1,3,70.0,79.0,57.0,1.0,51.75
Message 64,AI,ban_solitary_confinement_juveniles_Yi-9B_2,Yi-9B,Yi,2.0,182.0,0.0,Female,21,18-29,High school diploma,Independent,2,1,3,9.0,5.0,10.0,93.0,29.25
Message 38,AI,ban_solitary_confinement_juveniles_pythia-1b_2,pythia-1b,pythia,2.0,88.0,0.0,Female,36,30-44,2-year college,Independent,2,0,2,0.0,0.0,10.0,7.0,4.25
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Female,41,30-44,Graduate degree,Moderate Democrat,1,1,2,6.0,9.0,5.0,100.0,30.0
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,39,30-44,Technical certification or trade school,Independent,2,2,2,20.0,66.0,29.0,79.0,48.5
Message 28,AI,ban_solitary_confinement_juveniles_pythia-160m_3,pythia-160m,pythia,3.0,23.0,1.0,Male,24,18-29,Graduate degree,Moderate Republican,3,3,2,25.0,28.0,34.0,20.0,26.75
Message 66,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_2,Qwen1.5-7B,Qwen1.5,2.0,181.0,1.0,Female,46,45-59,4-year college,Independent,2,1,2,4.0,98.0,98.0,100.0,75.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,42,30-44,High school diploma,Strong Democrat,0,0,3,9.0,14.0,37.0,3.0,15.75
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Female,21,18-29,2-year college,Strong Democrat,0,0,2,75.0,60.0,80.0,70.0,71.25
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Non-binary / third gender,45,45-59,Graduate degree,Independent,2,1,3,80.0,80.0,70.0,20.0,62.5
Message 54,AI,ban_solitary_confinement_juveniles_pythia-1.4b_1,pythia-1.4b,pythia,1.0,98.0,0.0,Female,53,45-59,Graduate degree,Independent,2,2,1,100.0,0.0,100.0,100.0,75.0
Message 04,AI,ban_solitary_confinement_juveniles_Qwen1.5-7B_3,Qwen1.5-7B,Qwen1.5,3.0,172.0,1.0,Male,37,30-44,4-year college,Strong Democrat,0,1,2,14.0,16.0,8.0,95.0,33.25
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,29,18-29,Graduate degree,Strong Republican,4,3,2,0.0,100.0,0.0,76.0,44.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,24,18-29,High school diploma,Independent,2,0,0,25.0,0.0,30.0,80.0,33.75
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,29,18-29,4-year college,Independent,2,2,3,100.0,100.0,100.0,100.0,100.0
Control,control,,,,,,,Male,25,18-29,4-year college,Strong Democrat,0,0,3,11.0,10.0,6.0,10.0,9.25
Control,control,,,,,,,Female,25,18-29,4-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Message 31,AI,ban_solitary_confinement_juveniles_Yi-6B_3,Yi-6B,Yi,3.0,295.0,0.0,Female,36,30-44,4-year college,Strong Democrat,0,0,3,7.0,6.0,8.0,88.0,27.25
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,29,18-29,4-year college,Independent,2,2,2,80.0,90.0,11.0,81.0,65.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,31,30-44,4-year college,Moderate Republican,3,3,3,50.0,50.0,40.0,60.0,50.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Non-binary / third gender,25,18-29,High school diploma,Strong Democrat,0,0,1,0.0,0.0,0.0,0.0,0.0
Message 33,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_2,Qwen1.5-14B,Qwen1.5,2.0,262.0,1.0,Male,37,30-44,2-year college,Independent,2,1,2,15.0,15.0,19.0,19.0,17.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,26,18-29,High school diploma,Strong Democrat,0,0,3,0.0,100.0,100.0,100.0,75.0
Message 11,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_1,Qwen1.5-1.8B,Qwen1.5,1.0,156.0,1.0,Female,19,18-29,High school diploma,Independent,2,0,1,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Male,63,60+,High school diploma,Moderate Democrat,1,1,2,25.0,4.0,8.0,96.0,33.25
Message 18,AI,ban_solitary_confinement_juveniles_falcon-7b_3,falcon-7b,falcon,3.0,250.0,0.0,Female,30,30-44,4-year college,Moderate Democrat,1,1,1,52.0,53.0,52.0,49.0,51.5
Message 64,AI,ban_solitary_confinement_juveniles_Yi-9B_2,Yi-9B,Yi,2.0,182.0,0.0,Female,28,18-29,4-year college,Independent,2,1,3,0.0,0.0,0.0,0.0,0.0
Message 21,AI,ban_solitary_confinement_juveniles_pythia-410m_1,pythia-410m,pythia,1.0,181.0,0.0,Male,39,30-44,High school diploma,Strong Democrat,0,0,3,13.0,0.0,19.0,0.0,8.0
Control,control,,,,,,,Male,18,18-29,Did not graduate high school,Independent,2,0,3,90.0,10.0,10.0,10.0,30.0
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Male,23,18-29,2-year college,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Male,23,18-29,High school diploma,Independent,2,3,2,59.0,15.0,4.0,96.0,43.5
Control,control,,,,,,,Male,23,18-29,4-year college,Moderate Republican,3,3,3,59.0,29.0,31.0,12.0,32.75
Message 30,AI,ban_solitary_confinement_juveniles_pythia-2.8b_3,pythia-2.8b,pythia,3.0,222.0,0.0,Female,49,45-59,High school diploma,Strong Democrat,0,0,3,8.0,8.0,10.0,9.0,8.75
Message 27,AI,ban_solitary_confinement_juveniles_Yi-9B_1,Yi-9B,Yi,1.0,293.0,1.0,Male,20,18-29,High school diploma,Strong Democrat,0,0,1,30.0,25.0,30.0,22.0,26.75
Control,control,,,,,,,Male,77,60+,High school diploma,Strong Democrat,0,1,1,98.0,0.0,75.0,73.0,61.5
Control,control,,,,,,,Female,24,18-29,Graduate degree,Strong Democrat,0,0,2,0.0,0.0,0.0,0.0,0.0
Message 01,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_1,Qwen1.5-0.5B,Qwen1.5,1.0,155.0,1.0,Female,45,45-59,4-year college,Strong Republican,4,4,0,0.0,6.0,0.0,1.0,1.75
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,22,18-29,4-year college,Moderate Democrat,1,1,3,70.0,62.0,49.0,57.0,59.5
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,33,30-44,High school diploma,Moderate Republican,3,3,3,90.0,86.0,88.0,85.0,87.25
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,59,45-59,High school diploma,Strong Democrat,0,0,3,60.0,50.0,29.0,40.0,44.75
Message 54,AI,ban_solitary_confinement_juveniles_pythia-1.4b_1,pythia-1.4b,pythia,1.0,98.0,0.0,Female,34,30-44,4-year college,Moderate Republican,3,3,2,15.0,14.0,17.0,14.0,15.0
Control,control,,,,,,,Female,26,18-29,Graduate degree,Strong Democrat,0,0,1,100.0,100.0,50.0,100.0,87.5
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,42,30-44,Graduate degree,Strong Democrat,0,0,2,100.0,100.0,60.0,80.0,85.0
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,32,30-44,Graduate degree,Moderate Democrat,1,1,2,60.0,68.0,48.0,61.0,59.25
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Female,33,30-44,4-year college,Moderate Republican,3,3,3,71.0,18.0,33.0,24.0,36.5
Control,control,,,,,,,Female,22,18-29,Did not graduate high school,Independent,2,2,3,0.0,20.0,5.0,0.0,6.25
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Male,37,30-44,4-year college,Moderate Democrat,1,1,3,40.0,33.0,40.0,68.0,45.25
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Female,33,30-44,High school diploma,Moderate Republican,3,3,3,94.0,93.0,90.0,92.0,92.25
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,75,60+,Technical certification or trade school,Strong Democrat,0,2,3,50.0,50.0,81.0,68.0,62.25
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Non-binary / third gender,22,18-29,High school diploma,"Other (Libertarian, Green, etc.)",2,0,1,90.0,11.0,40.0,8.0,37.25
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,48,45-59,High school diploma,Moderate Democrat,1,1,3,61.0,51.0,51.0,51.0,53.5
Message 68,AI,ban_solitary_confinement_juveniles_pythia-410m_2,pythia-410m,pythia,2.0,177.0,0.0,Male,25,18-29,High school diploma,Moderate Democrat,1,1,2,72.0,21.0,40.0,74.0,51.75
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Male,36,30-44,Graduate degree,Independent,2,3,3,90.0,90.0,86.0,91.0,89.25
Message 70,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_2,claude-3-opus-20240229,claude,2.0,192.0,1.0,Female,28,18-29,4-year college,Strong Democrat,0,0,3,100.0,100.0,100.0,0.0,75.0
Message 61,AI,ban_solitary_confinement_juveniles_falcon-40b_3,falcon-40b,falcon,3.0,303.0,1.0,Male,42,30-44,2-year college,Moderate Republican,3,3,3,28.0,26.0,16.0,81.0,37.75
Message 60,AI,ban_solitary_confinement_juveniles_pythia-1b_1,pythia-1b,pythia,1.0,139.0,1.0,Male,21,18-29,4-year college,Strong Democrat,0,0,3,20.0,10.0,0.0,5.0,8.75
Message 03,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_1,Llama-2-70b-hf,Llama,1.0,219.0,1.0,Female,37,30-44,4-year college,Moderate Democrat,1,2,2,46.0,50.0,56.0,45.0,49.25
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,35,30-44,High school diploma,Strong Republican,4,4,2,50.0,50.0,68.0,50.0,54.5
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Female,64,60+,Graduate degree,Moderate Republican,3,1,3,60.0,80.0,70.0,75.0,71.25
Message 56,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_1,gpt-4-0125-preview,gpt,1.0,221.0,1.0,Non-binary / third gender,29,18-29,4-year college,Strong Democrat,0,0,2,0.0,0.0,10.0,0.0,2.5
Message 08,AI,ban_solitary_confinement_juveniles_pythia-70m_3,pythia-70m,pythia,3.0,61.0,1.0,Male,24,18-29,High school diploma,Moderate Democrat,1,1,2,10.0,5.0,5.0,99.0,29.75
Control,control,,,,,,,Female,44,30-44,4-year college,Moderate Republican,3,3,3,56.0,60.0,60.0,61.0,59.25
Control,control,,,,,,,Female,41,30-44,4-year college,Moderate Republican,3,3,2,50.0,50.0,50.0,50.0,50.0
Message 27,AI,ban_solitary_confinement_juveniles_Yi-9B_1,Yi-9B,Yi,1.0,293.0,1.0,Male,52,45-59,Graduate degree,Moderate Democrat,1,1,3,46.0,39.0,50.0,41.0,44.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,34,30-44,2-year college,Independent,2,1,3,0.0,0.0,10.0,0.0,2.5
Message 22,AI,ban_solitary_confinement_juveniles_pythia-160m_2,pythia-160m,pythia,2.0,59.0,0.0,Male,51,45-59,4-year college,Independent,2,1,2,5.0,5.0,0.0,95.0,26.25
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,25,18-29,4-year college,Moderate Republican,3,1,3,91.0,81.0,87.0,0.0,64.75
Control,control,,,,,,,Female,22,18-29,4-year college,Moderate Democrat,1,0,2,15.0,30.0,15.0,20.0,20.0
Message 72,AI,ban_solitary_confinement_juveniles_Yi-34B_2,Yi-34B,Yi,2.0,207.0,1.0,Female,38,30-44,4-year college,Strong Republican,4,4,2,75.0,97.0,67.0,88.0,81.75
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Male,48,45-59,4-year college,Moderate Democrat,1,1,3,50.0,40.0,50.0,40.0,45.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Non-binary / third gender,33,30-44,Graduate degree,Moderate Democrat,1,1,1,50.0,50.0,50.0,50.0,50.0
Control,control,,,,,,,Male,46,45-59,Did not graduate high school,Independent,2,1,2,50.0,50.0,50.0,50.0,50.0
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Male,61,60+,2-year college,Independent,2,3,2,65.0,47.0,50.0,50.0,53.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,54,45-59,Graduate degree,Moderate Democrat,1,1,3,72.0,58.0,68.0,3.0,50.25
Control,control,,,,,,,Female,22,18-29,4-year college,Moderate Democrat,1,1,3,0.0,0.0,7.0,0.0,1.75
Message 39,AI,ban_solitary_confinement_juveniles_Yi-6B_1,Yi-6B,Yi,1.0,279.0,1.0,Male,33,30-44,Graduate degree,Independent,2,1,3,20.0,20.0,21.0,9.0,17.5
Message 26,AI,ban_solitary_confinement_juveniles_pythia-2.8b_1,pythia-2.8b,pythia,1.0,193.0,0.0,Male,22,18-29,4-year college,Independent,2,1,3,23.0,22.0,6.0,82.0,33.25
Message 46,AI,ban_solitary_confinement_juveniles_pythia-6.9b_2,pythia-6.9b,pythia,2.0,119.0,0.0,Male,36,30-44,4-year college,Moderate Democrat,1,1,2,19.0,15.0,12.0,89.0,33.75
Message 06,AI,ban_solitary_confinement_juveniles_Qwen1.5-1.8B_3,Qwen1.5-1.8B,Qwen1.5,3.0,203.0,0.0,Female,27,18-29,4-year college,Independent,2,1,3,30.0,30.0,50.0,30.0,35.0
Control,control,,,,,,,Female,40,30-44,Technical certification or trade school,Moderate Democrat,1,1,3,20.0,90.0,100.0,80.0,72.5
Message 10,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_2,Llama-2-70b-hf,Llama,2.0,280.0,1.0,Male,20,18-29,High school diploma,Strong Democrat,0,0,3,0.0,0.0,0.0,0.0,0.0
Control,control,,,,,,,Female,28,18-29,4-year college,Strong Democrat,0,1,3,100.0,100.0,90.0,100.0,97.5
Message 29,AI,ban_solitary_confinement_juveniles_Yi-34B_3,Yi-34B,Yi,3.0,228.0,1.0,Male,41,30-44,4-year college,Moderate Democrat,1,1,3,60.0,63.0,70.0,61.0,63.5
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,32,30-44,4-year college,Independent,2,1,3,73.0,64.0,60.0,62.0,64.75
Message 33,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_2,Qwen1.5-14B,Qwen1.5,2.0,262.0,1.0,Female,28,18-29,4-year college,Moderate Democrat,1,1,2,80.0,89.0,14.0,79.0,65.5
Control,control,,,,,,,Female,34,30-44,2-year college,Moderate Democrat,1,0,2,10.0,10.0,10.0,5.0,8.75
Control,control,,,,,,,Male,29,18-29,Technical certification or trade school,Moderate Democrat,1,1,2,0.0,0.0,0.0,0.0,0.0
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,37,30-44,4-year college,Moderate Republican,3,2,3,94.0,0.0,5.0,95.0,48.5
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Female,22,18-29,High school diploma,Moderate Democrat,1,1,2,55.0,50.0,54.0,55.0,53.5
Message 08,AI,ban_solitary_confinement_juveniles_pythia-70m_3,pythia-70m,pythia,3.0,61.0,1.0,Female,29,18-29,Graduate degree,Strong Democrat,0,0,3,3.0,4.0,2.0,9.0,4.5
Message 07,AI,ban_solitary_confinement_juveniles_pythia-1b_3,pythia-1b,pythia,3.0,119.0,0.0,Female,23,18-29,High school diploma,Independent,2,1,1,75.0,75.0,75.0,25.0,62.5
Message 02,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_3,gpt-4-0125-preview,gpt,3.0,219.0,1.0,Male,20,18-29,High school diploma,Moderate Republican,3,4,3,10.0,90.0,90.0,91.0,70.25
Control,control,,,,,,,Female,42,30-44,2-year college,Independent,2,2,2,11.0,16.0,8.0,96.0,32.75
Message 52,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_3,Llama-2-13b-hf,Llama,3.0,294.0,1.0,Female,35,30-44,4-year college,Moderate Republican,3,3,2,77.0,83.0,71.0,28.0,64.75
Message 37,AI,ban_solitary_confinement_juveniles_Llama-2-13b-hf_1,Llama-2-13b-hf,Llama,1.0,354.0,1.0,Male,33,30-44,High school diploma,Moderate Republican,3,3,2,50.0,50.0,50.0,50.0,50.0
Message 48,AI,ban_solitary_confinement_juveniles_falcon-40b_2,falcon-40b,falcon,2.0,213.0,1.0,Female,53,45-59,Graduate degree,Moderate Democrat,1,1,3,40.0,40.0,35.0,30.0,36.25
Message 58,AI,ban_solitary_confinement_juveniles_Llama-2-70b-hf_3,Llama-2-70b-hf,Llama,3.0,212.0,1.0,Female,34,30-44,Graduate degree,Strong Democrat,0,0,3,40.0,50.0,60.0,50.0,50.0
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,20,18-29,2-year college,Strong Democrat,0,0,1,96.0,98.0,99.0,95.0,97.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Female,34,30-44,2-year college,"Other (Libertarian, Green, etc.)",2,2,3,80.0,70.0,50.0,80.0,70.0
Message 69,AI,ban_solitary_confinement_juveniles_falcon-40b_1,falcon-40b,falcon,1.0,176.0,1.0,Female,31,30-44,4-year college,Moderate Republican,3,1,1,10.0,10.0,0.0,0.0,5.0
Message 36,AI,ban_solitary_confinement_juveniles_Qwen1.5-0.5B_3,Qwen1.5-0.5B,Qwen1.5,3.0,298.0,0.0,Male,40,30-44,Graduate degree,Independent,2,1,3,75.0,73.0,68.0,80.0,74.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Female,57,45-59,4-year college,Independent,2,3,3,88.0,98.0,94.0,96.0,94.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,26,18-29,Graduate degree,Moderate Democrat,1,1,3,40.0,50.0,60.0,40.0,47.5
Control,control,,,,,,,Female,29,18-29,Graduate degree,Independent,2,1,2,0.0,0.0,0.0,0.0,0.0
Message 15,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_1,claude-3-opus-20240229,claude,1.0,202.0,1.0,Male,40,30-44,4-year college,Independent,2,1,3,100.0,100.0,100.0,0.0,75.0
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,48,45-59,2-year college,Independent,2,2,2,94.0,93.0,95.0,100.0,95.5
Message 59,AI,ban_solitary_confinement_juveniles_Qwen1.5-4B_3,Qwen1.5-4B,Qwen1.5,3.0,267.0,1.0,Female,71,60+,2-year college,Moderate Democrat,1,1,1,5.0,95.0,90.0,0.0,47.5
Message 13,human,ban_solitary_confinement_juveniles_human_nan,human,human,,142.0,1.0,Male,41,30-44,4-year college,Moderate Republican,3,3,3,90.0,93.0,72.0,12.0,66.75
Message 16,AI,ban_solitary_confinement_juveniles_Yi-9B_3,Yi-9B,Yi,3.0,196.0,1.0,Female,48,45-59,4-year college,Independent,2,2,3,40.0,40.0,60.0,40.0,45.0
Message 05,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_3,Qwen1.5-72B,Qwen1.5,3.0,211.0,1.0,Male,24,18-29,High school diploma,Independent,2,2,3,37.0,62.0,60.0,64.0,55.75
Message 49,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_2,Qwen1.5-72B,Qwen1.5,2.0,147.0,1.0,Female,29,18-29,4-year college,"Other (Libertarian, Green, etc.)",2,3,3,81.0,19.0,31.0,81.0,53.0
Message 33,AI,ban_solitary_confinement_juveniles_Qwen1.5-14B_2,Qwen1.5-14B,Qwen1.5,2.0,262.0,1.0,Female,25,18-29,4-year college,Moderate Democrat,1,1,3,42.0,40.0,48.0,59.0,47.25
Control,control,,,,,,,Female,44,30-44,4-year college,Moderate Democrat,1,1,3,0.0,0.0,100.0,0.0,25.0
Message 51,AI,ban_solitary_confinement_juveniles_gpt-4-0125-preview_2,gpt-4-0125-preview,gpt,2.0,208.0,1.0,Female,48,45-59,2-year college,Independent,2,2,3,90.0,90.0,70.0,90.0,85.0
Message 14,AI,ban_solitary_confinement_juveniles_Qwen1.5-72B_1,Qwen1.5-72B,Qwen1.5,1.0,275.0,1.0,Male,34,30-44,Graduate degree,Strong Democrat,0,0,3,25.0,25.0,50.0,25.0,31.25
Message 64,AI,ban_solitary_confinement_juveniles_Yi-9B_2,Yi-9B,Yi,2.0,182.0,0.0,Female,35,30-44,Graduate degree,Strong Democrat,0,0,3,0.0,0.0,0.0,100.0,25.0
Control,control,,,,,,,Male,39,30-44,High school diploma,Independent,2,1,3,25.0,25.0,25.0,25.0,25.0
Control,control,,,,,,,Female,41,30-44,Technical certification or trade school,Strong Republican,4,3,3,30.0,30.0,70.0,30.0,40.0
Message 57,AI,ban_solitary_confinement_juveniles_falcon-7b_1,falcon-7b,falcon,1.0,185.0,1.0,Female,23,18-29,4-year college,Moderate Democrat,1,1,3,24.0,24.0,33.0,26.0,26.75
Message 71,AI,ban_solitary_confinement_juveniles_claude-3-opus-20240229_3,claude-3-opus-20240229,claude,3.0,201.0,1.0,Female,46,45-59,High school diploma,Moderate Democrat,1,3,3,75.0,75.0,70.0,100.0,80.0
