arm,expertise,moralTrust,support,information_seeking,similarity,conservative,pol_orientation,pol_preference,party_lean,age,age_band,gender_norm
Economic institute,6.666666666666667,5.875,4.0,6.0,4.0,2.5,3.0,2.0,Democrat,29.0,18-29,Male
Sociological institute,2.3333333333333335,2.875,2.0,3.0,1.0,6.0,6.0,6.0,Republican,66.0,60+,Female
Economic institute,7.0,6.375,7.0,7.0,5.0,2.5,2.0,3.0,Democrat,24.0,18-29,Female
Economic institute,7.0,7.0,7.0,7.0,4.0,1.0,1.0,1.0,Democrat,37.0,30-44,Female
Interdisciplinary institute,5.5,4.875,4.0,5.0,4.0,1.5,2.0,1.0,Democrat,42.0,30-44,Male
Interdisciplinary institute,7.0,6.25,4.0,6.0,4.0,6.0,6.0,6.0,Republican,62.0,60+,Female
Economic institute,7.0,7.0,5.0,6.0,5.0,1.0,1.0,1.0,Democrat,39.0,30-44,Female
Sociological institute,2.3333333333333335,2.625,2.0,1.0,3.0,4.0,4.0,4.0,Independent,33.0,30-44,Male
Interdisciplinary institute,7.0,6.5,5.0,7.0,4.0,3.0,3.0,3.0,Democrat,31.0,30-44,Female
Interdisciplinary institute,7.0,6.0,4.0,7.0,4.0,4.0,4.0,4.0,Independent,46.0,45-59,Female
Economic institute,7.0,7.0,7.0,7.0,5.0,4.5,4.0,5.0,Republican,43.0,30-44,Female
Sociological institute,6.166666666666667,5.5,6.0,6.0,6.0,1.0,1.0,1.0,Democrat,34.0,30-44,Female
Interdisciplinary institute,6.666666666666667,5.625,6.0,6.0,6.0,3.5,4.0,3.0,Democrat,38.0,30-44,Male
Sociological institute,7.0,6.875,4.0,6.0,3.0,7.0,7.0,7.0,Republican,49.0,45-59,Female
Economic institute,3.8333333333333335,3.875,5.0,4.0,4.0,3.5,4.0,3.0,Democrat,58.0,45-59,Female
Sociological institute,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,Democrat,36.0,30-44,Male
Interdisciplinary institute,5.166666666666667,4.75,5.0,6.0,5.0,5.0,5.0,5.0,Republican,40.0,30-44,Female
Sociological institute,6.5,6.0,4.0,7.0,6.0,3.0,3.0,3.0,Democrat,65.0,60+,Female
Interdisciplinary institute,5.833333333333333,5.625,6.0,6.0,3.0,3.0,5.0,1.0,Democrat,49.0,45-59,Female
Sociological institute,7.0,6.625,5.0,6.0,5.0,1.0,1.0,1.0,Democrat,55.0,45-59,Female
Economic institute,6.833333333333333,4.375,6.0,7.0,5.0,6.0,6.0,6.0,Republican,25.0,18-29,Male
Interdisciplinary institute,7.0,7.0,7.0,7.0,6.0,5.5,5.0,6.0,Republican,67.0,60+,Female
Economic institute,4.833333333333333,4.375,5.0,6.0,3.0,2.5,3.0,2.0,Democrat,35.0,30-44,Female
Interdisciplinary institute,7.0,6.625,6.0,7.0,6.0,2.0,2.0,2.0,Democrat,38.0,30-44,Female
Economic institute,6.0,5.0,6.0,6.0,4.0,4.0,4.0,4.0,Independent,41.0,30-44,Female
Sociological institute,6.833333333333333,5.25,4.0,6.0,4.0,5.5,5.0,6.0,Republican,32.0,30-44,Female
Interdisciplinary institute,7.0,6.875,5.0,6.0,5.0,1.0,1.0,1.0,Democrat,47.0,45-59,Female
Economic institute,7.0,7.0,6.0,7.0,6.0,3.0,3.0,3.0,Democrat,38.0,30-44,Male
Interdisciplinary institute,4.833333333333333,4.375,3.0,3.0,3.0,6.5,7.0,6.0,Republican,68.0,60+,Female
Economic institute,6.0,5.875,6.0,7.0,4.0,5.0,5.0,5.0,Republican,30.0,30-44,Male
Interdisciplinary institute,6.833333333333333,6.0,6.0,6.0,6.0,1.0,1.0,1.0,Democrat,23.0,18-29,Female
Economic institute,6.166666666666667,5.25,4.0,5.0,4.0,4.0,4.0,4.0,Independent,50.0,45-59,Female
Economic institute,7.0,5.75,6.0,6.0,4.0,1.5,2.0,1.0,Democrat,31.0,30-44,Female
Sociological institute,5.833333333333333,5.5,6.0,6.0,4.0,2.5,3.0,2.0,Democrat,51.0,45-59,Female
Economic institute,6.0,4.25,5.0,6.0,3.0,3.0,3.0,3.0,Democrat,68.0,60+,Female
Sociological institute,6.166666666666667,5.125,3.0,3.0,3.0,6.0,6.0,6.0,Republican,66.0,60+,Male
Sociological institute,7.0,7.0,6.0,6.0,6.0,1.0,1.0,1.0,Democrat,32.0,30-44,Male
Interdisciplinary institute,6.333333333333333,6.0,5.0,6.0,4.0,1.5,2.0,1.0,Democrat,28.0,18-29,Female
Sociological institute,6.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,Independent,30.0,30-44,Male
Interdisciplinary institute,7.0,6.0,6.0,6.0,3.0,4.0,4.0,4.0,Independent,48.0,45-59,Male
Interdisciplinary institute,6.166666666666667,5.25,4.0,6.0,4.0,5.0,5.0,5.0,Republican,64.0,60+,Male
Economic institute,3.1666666666666665,2.75,6.0,6.0,3.0,4.0,4.0,4.0,Independent,27.0,18-29,Female
Economic institute,6.833333333333333,5.0,5.0,6.0,3.0,4.5,5.0,4.0,Independent,60.0,60+,Male
Sociological institute,6.166666666666667,5.625,5.0,6.0,4.0,1.0,1.0,1.0,Democrat,55.0,45-59,Female
Sociological institute,6.5,6.375,6.0,7.0,5.0,7.0,7.0,7.0,Republican,40.0,30-44,Female
Interdisciplinary institute,6.666666666666667,5.75,5.0,5.0,1.0,1.0,1.0,1.0,Democrat,55.0,45-59,Female
Economic institute,7.0,7.0,7.0,7.0,4.0,1.0,1.0,1.0,Democrat,34.0,30-44,Male
Interdisciplinary institute,7.0,7.0,5.0,7.0,5.0,1.0,1.0,1.0,Democrat,56.0,45-59,Female
Interdisciplinary institute,3.8333333333333335,3.75,3.0,5.0,5.0,3.5,4.0,3.0,Democrat,21.0,18-29,Male
Interdisciplinary institute,7.0,6.125,5.0,7.0,4.0,1.5,2.0,1.0,Democrat,44.0,30-44,Female
Economic institute,6.333333333333333,5.5,4.0,3.0,4.0,4.0,4.0,4.0,Independent,27.0,18-29,Male
Sociological institute,6.666666666666667,6.125,5.0,7.0,5.0,2.5,2.0,3.0,Democrat,38.0,30-44,Male
Sociological institute,6.333333333333333,6.0,6.0,6.0,6.0,1.0,1.0,1.0,Democrat,58.0,45-59,Male
Economic institute,6.0,3.25,4.0,6.0,1.0,1.0,1.0,1.0,Democrat,33.0,30-44,Male
Interdisciplinary institute,6.5,5.75,6.0,7.0,4.0,1.0,1.0,1.0,Democrat,44.0,30-44,Male
Economic institute,6.166666666666667,6.0,6.0,5.0,5.0,1.0,1.0,1.0,Democrat,29.0,18-29,Male
Economic institute,6.166666666666667,5.125,4.0,6.0,2.0,6.5,7.0,6.0,Republican,60.0,60+,Female
Sociological institute,4.166666666666667,4.0,4.0,4.0,4.0,2.5,4.0,1.0,Democrat,38.0,30-44,Male
Interdisciplinary institute,5.333333333333333,5.75,5.0,6.0,5.0,5.0,5.0,5.0,Republican,56.0,45-59,Female
Interdisciplinary institute,6.0,6.125,6.0,7.0,6.0,6.5,7.0,6.0,Republican,41.0,30-44,Female
Sociological institute,7.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,Republican,37.0,30-44,Female
Sociological institute,6.833333333333333,6.5,6.0,7.0,4.0,3.0,3.0,3.0,Democrat,56.0,45-59,Female
Interdisciplinary institute,6.0,4.625,5.0,6.0,5.0,3.0,3.0,3.0,Democrat,22.0,18-29,Female
Economic institute,7.0,5.625,6.0,6.0,6.0,3.5,3.0,4.0,Independent,33.0,30-44,Male
Sociological institute,7.0,7.0,6.0,7.0,7.0,1.0,1.0,1.0,Democrat,61.0,60+,Female
Economic institute,7.0,5.625,5.0,6.0,4.0,3.0,5.0,1.0,Democrat,58.0,45-59,Female
Sociological institute,7.0,7.0,4.0,6.0,6.0,7.0,7.0,7.0,Republican,66.0,60+,Female
Economic institute,6.666666666666667,5.25,4.0,6.0,2.0,5.0,4.0,6.0,Republican,37.0,30-44,Female
Economic institute,7.0,6.875,7.0,7.0,7.0,1.0,1.0,1.0,Democrat,38.0,30-44,Female
Sociological institute,7.0,7.0,4.0,6.0,4.0,2.0,2.0,2.0,Democrat,28.0,18-29,Female
Interdisciplinary institute,7.0,6.5,5.0,4.0,2.0,3.5,4.0,3.0,Democrat,28.0,18-29,Female
Interdisciplinary institute,7.0,6.375,5.0,7.0,5.0,2.5,3.0,2.0,Democrat,29.0,18-29,Female
Interdisciplinary institute,7.0,6.625,7.0,7.0,6.0,3.0,3.0,3.0,Democrat,32.0,30-44,Female
Interdisciplinary institute,5.666666666666667,5.25,5.0,6.0,3.0,1.0,1.0,1.0,Democrat,31.0,30-44,Male
Economic institute,6.833333333333333,6.125,4.0,4.0,4.0,7.0,7.0,7.0,Republican,35.0,30-44,Female
Economic institute,6.166666666666667,4.375,6.0,7.0,4.0,4.0,5.0,3.0,Democrat,58.0,45-59,Female
Sociological institute,5.0,4.375,4.0,5.0,4.0,4.0,4.0,4.0,Independent,33.0,30-44,Female
Economic institute,6.833333333333333,4.875,4.0,7.0,4.0,2.0,2.0,2.0,Democrat,33.0,30-44,Female
Sociological institute,5.166666666666667,3.875,4.0,6.0,4.0,2.0,2.0,2.0,Democrat,69.0,60+,Female
Interdisciplinary institute,6.166666666666667,6.0,6.0,6.0,4.0,2.0,2.0,2.0,Democrat,43.0,30-44,Female
Sociological institute,7.0,7.0,6.0,6.0,3.0,6.0,6.0,6.0,Republican,51.0,45-59,Female
Interdisciplinary institute,7.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,Republican,35.0,30-44,Male
Interdisciplinary institute,7.0,6.625,7.0,7.0,6.0,2.0,2.0,2.0,Democrat,29.0,18-29,Female
Interdisciplinary institute,6.333333333333333,5.0,4.0,6.0,3.0,1.0,1.0,1.0,Democrat,36.0,30-44,Male
Economic institute,7.0,5.5,6.0,6.0,5.0,2.0,2.0,2.0,Democrat,32.0,30-44,Male
Sociological institute,7.0,5.125,6.0,7.0,4.0,1.5,2.0,1.0,Democrat,23.0,18-29,Female
Sociological institute,6.0,5.875,5.0,4.0,4.0,2.0,2.0,2.0,Democrat,28.0,18-29,Female
Sociological institute,6.666666666666667,6.625,6.0,5.0,5.0,4.0,4.0,4.0,Independent,51.0,45-59,Female
Economic institute,6.833333333333333,4.375,5.0,6.0,4.0,2.0,2.0,2.0,Democrat,48.0,45-59,Female
Economic institute,6.333333333333333,4.875,4.0,4.0,3.0,5.0,5.0,5.0,Republican,54.0,45-59,Male
Economic institute,5.833333333333333,4.75,6.0,4.0,4.0,4.0,4.0,4.0,Independent,31.0,30-44,Female
Sociological institute,5.833333333333333,5.125,4.0,6.0,5.0,3.0,3.0,3.0,Democrat,33.0,30-44,Female
Sociological institute,6.0,6.0,4.0,5.0,4.0,4.0,4.0,4.0,Independent,28.0,18-29,Female
Interdisciplinary institute,6.833333333333333,5.625,6.0,5.0,6.0,3.0,5.0,1.0,Democrat,42.0,30-44,Female
Interdisciplinary institute,7.0,5.625,6.0,6.0,4.0,4.5,5.0,4.0,Independent,60.0,60+,Female
Sociological institute,6.5,6.0,6.0,7.0,5.0,6.0,6.0,6.0,Republican,47.0,45-59,Female
Interdisciplinary institute,4.833333333333333,3.875,6.0,5.0,6.0,1.0,1.0,1.0,Democrat,41.0,30-44,Male
Economic institute,6.833333333333333,6.0,7.0,7.0,4.0,1.0,1.0,1.0,Democrat,30.0,30-44,Female
Sociological institute,6.666666666666667,5.75,5.0,7.0,3.0,2.0,2.0,2.0,Democrat,30.0,30-44,Female
Economic institute,3.5,3.125,2.0,6.0,2.0,2.0,2.0,2.0,Democrat,28.0,18-29,Female
Economic institute,6.5,4.0,4.0,6.0,3.0,2.0,2.0,2.0,Democrat,40.0,30-44,Female
Economic institute,5.0,4.25,5.0,5.0,5.0,4.0,4.0,4.0,Independent,29.0,18-29,Male
Interdisciplinary institute,7.0,7.0,7.0,6.0,5.0,6.0,5.0,7.0,Republican,59.0,45-59,Female
Interdisciplinary institute,6.833333333333333,7.0,6.0,7.0,6.0,2.5,1.0,4.0,Independent,37.0,30-44,Female
Interdisciplinary institute,6.333333333333333,4.5,5.0,6.0,5.0,6.5,6.0,7.0,Republican,38.0,30-44,Male
Interdisciplinary institute,5.5,5.875,4.0,4.0,4.0,1.0,1.0,1.0,Democrat,30.0,30-44,Male
Interdisciplinary institute,7.0,7.0,7.0,6.0,5.0,1.5,2.0,1.0,Democrat,25.0,18-29,Female
Interdisciplinary institute,7.0,7.0,6.0,6.0,6.0,2.0,2.0,2.0,Democrat,59.0,45-59,Female
Economic institute,6.333333333333333,6.0,4.0,5.0,4.0,1.5,2.0,1.0,Democrat,57.0,45-59,Female
Sociological institute,5.333333333333333,4.625,4.0,5.0,4.0,7.0,7.0,7.0,Republican,38.0,30-44,Male
Interdisciplinary institute,6.5,6.5,6.0,7.0,5.0,3.0,4.0,2.0,Democrat,55.0,45-59,Female
Economic institute,6.666666666666667,4.875,4.0,5.0,4.0,1.5,1.0,2.0,Democrat,31.0,30-44,Male
Economic institute,6.833333333333333,5.875,4.0,4.0,4.0,3.0,3.0,3.0,Democrat,57.0,45-59,Female
Sociological institute,7.0,7.0,4.0,7.0,4.0,1.0,1.0,1.0,Democrat,62.0,60+,Male
Interdisciplinary institute,7.0,6.625,7.0,7.0,7.0,6.5,6.0,7.0,Republican,41.0,30-44,Female
Economic institute,6.166666666666667,4.375,4.0,6.0,4.0,2.0,2.0,2.0,Democrat,45.0,45-59,Male
Sociological institute,7.0,6.5,6.0,7.0,5.0,1.5,2.0,1.0,Democrat,36.0,30-44,Female
Interdisciplinary institute,6.833333333333333,5.0,5.0,6.0,4.0,5.0,5.0,5.0,Republican,30.0,30-44,Male
Economic institute,5.333333333333333,4.875,5.0,5.0,4.0,3.5,4.0,3.0,Democrat,31.0,30-44,Female
Sociological institute,6.0,6.0,4.0,6.0,4.0,2.0,2.0,2.0,Democrat,46.0,45-59,Male
Sociological institute,6.0,4.875,5.0,6.0,4.0,3.0,3.0,3.0,Democrat,27.0,18-29,Female
Economic institute,7.0,6.0,4.0,7.0,4.0,3.5,3.0,4.0,Independent,29.0,18-29,Male
Interdisciplinary institute,6.833333333333333,6.25,6.0,7.0,4.0,3.5,4.0,3.0,Democrat,24.0,18-29,Male
Interdisciplinary institute,6.666666666666667,5.375,6.0,7.0,4.0,5.0,5.0,5.0,Republican,29.0,18-29,Female
Economic institute,7.0,7.0,6.0,7.0,5.0,4.0,4.0,4.0,Independent,65.0,60+,Female
Interdisciplinary institute,6.166666666666667,6.5,7.0,6.0,7.0,7.0,7.0,7.0,Republican,40.0,30-44,Female
Sociological institute,7.0,6.0,5.0,5.0,5.0,2.0,2.0,2.0,Democrat,28.0,18-29,Male
Sociological institute,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,Republican,41.0,30-44,Male
Economic institute,6.333333333333333,5.25,4.0,5.0,4.0,4.5,5.0,4.0,Independent,38.0,30-44,Male
Interdisciplinary institute,4.5,5.875,4.0,4.0,4.0,1.5,2.0,1.0,Democrat,51.0,45-59,Male
Economic institute,6.0,5.75,6.0,5.0,5.0,6.5,7.0,6.0,Republican,37.0,30-44,Male
Sociological institute,6.666666666666667,5.75,4.0,6.0,4.0,4.0,4.0,4.0,Independent,38.0,30-44,Male
Sociological institute,6.833333333333333,5.5,6.0,7.0,3.0,6.0,6.0,6.0,Republican,53.0,45-59,Female
Economic institute,7.0,6.5,7.0,7.0,4.0,5.0,5.0,5.0,Republican,60.0,60+,Female
Interdisciplinary institute,6.333333333333333,6.125,5.0,6.0,3.0,4.0,4.0,4.0,Independent,34.0,30-44,Male
Sociological institute,4.5,4.375,6.0,6.0,5.0,3.5,3.0,4.0,Independent,27.0,18-29,Male
Interdisciplinary institute,7.0,6.0,6.0,7.0,6.0,2.5,2.0,3.0,Democrat,63.0,60+,Male
Interdisciplinary institute,6.0,5.5,5.0,7.0,4.0,6.0,6.0,6.0,Republican,44.0,30-44,Male
Economic institute,7.0,6.25,4.0,1.0,4.0,1.5,2.0,1.0,Democrat,24.0,18-29,Male
Interdisciplinary institute,5.833333333333333,4.875,4.0,7.0,4.0,5.0,5.0,5.0,Republican,30.0,30-44,Male
Sociological institute,6.166666666666667,5.75,4.0,4.0,2.0,4.5,5.0,4.0,Independent,43.0,30-44,Female
Interdisciplinary institute,4.833333333333333,4.375,5.0,5.0,4.0,2.0,2.0,2.0,Democrat,41.0,30-44,Female
Economic institute,5.833333333333333,5.125,5.0,6.0,5.0,6.5,6.0,7.0,Republican,67.0,60+,Female
Sociological institute,4.0,4.125,4.0,3.0,1.0,5.0,6.0,4.0,Independent,65.0,60+,Female
Sociological institute,6.666666666666667,7.0,6.0,6.0,6.0,2.0,2.0,2.0,Democrat,34.0,30-44,Female
Economic institute,5.833333333333333,4.375,5.0,5.0,4.0,3.0,3.0,3.0,Democrat,23.0,18-29,Female
Economic institute,6.0,5.75,6.0,6.0,6.0,6.0,6.0,6.0,Republican,73.0,60+,Female
Sociological institute,6.833333333333333,6.625,5.0,6.0,4.0,4.0,4.0,4.0,Independent,33.0,30-44,Male
Economic institute,6.666666666666667,4.75,6.0,7.0,6.0,3.0,3.0,3.0,Democrat,43.0,30-44,Female
Interdisciplinary institute,6.833333333333333,5.75,6.0,6.0,4.0,3.0,3.0,3.0,Democrat,66.0,60+,Male
Economic institute,6.0,4.5,7.0,5.0,4.0,5.0,5.0,5.0,Republican,41.0,30-44,Female
Interdisciplinary institute,7.0,5.5,6.0,6.0,5.0,3.0,3.0,3.0,Democrat,33.0,30-44,Female
Sociological institute,5.666666666666667,5.875,5.0,6.0,6.0,7.0,7.0,7.0,Republican,32.0,30-44,Female
Sociological institute,6.5,5.75,5.0,6.0,5.0,5.0,5.0,5.0,Republican,60.0,60+,Female
Economic institute,6.0,5.75,5.0,7.0,5.0,3.0,3.0,3.0,Democrat,45.0,45-59,Male
Sociological institute,5.5,4.5,4.0,6.0,4.0,2.5,2.0,3.0,Democrat,35.0,30-44,Female
Economic institute,6.0,6.0,6.0,6.0,4.0,1.0,1.0,1.0,Democrat,25.0,18-29,Female
Interdisciplinary institute,7.0,6.25,6.0,7.0,5.0,1.5,2.0,1.0,Democrat,40.0,30-44,Male
Interdisciplinary institute,7.0,5.875,4.0,7.0,1.0,7.0,7.0,7.0,Republican,66.0,60+,Female
Interdisciplinary institute,7.0,6.125,6.0,7.0,5.0,1.5,2.0,1.0,Democrat,58.0,45-59,Male
Economic institute,6.833333333333333,5.25,5.0,7.0,4.0,1.5,2.0,1.0,Democrat,31.0,30-44,Male
Sociological institute,6.166666666666667,5.875,6.0,7.0,5.0,2.5,3.0,2.0,Democrat,37.0,30-44,Male
Interdisciplinary institute,7.0,7.0,6.0,6.0,7.0,4.0,4.0,4.0,Independent,50.0,45-59,Male
Sociological institute,5.166666666666667,5.5,5.0,5.0,5.0,2.5,2.0,3.0,Democrat,39.0,30-44,Male
Sociological institute,7.0,6.75,4.0,6.0,4.0,2.0,2.0,2.0,Democrat,26.0,18-29,Male
Economic institute,6.666666666666667,6.0,5.0,6.0,5.0,2.5,2.0,3.0,Democrat,35.0,30-44,Male
Interdisciplinary institute,6.0,5.0,4.0,4.0,3.0,7.0,7.0,7.0,Republican,62.0,60+,Female
Economic institute,6.833333333333333,6.0,6.0,7.0,6.0,3.0,3.0,3.0,Democrat,44.0,30-44,Male
Interdisciplinary institute,4.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,Independent,60.0,60+,Male
Interdisciplinary institute,5.666666666666667,4.625,5.0,5.0,5.0,3.0,3.0,3.0,Democrat,28.0,18-29,Male
Economic institute,7.0,6.375,6.0,7.0,4.0,1.0,1.0,1.0,Democrat,35.0,30-44,Female
Economic institute,6.166666666666667,5.875,6.0,5.0,5.0,6.0,6.0,6.0,Republican,31.0,30-44,Male
Economic institute,6.0,6.0,6.0,6.0,4.0,4.0,4.0,4.0,Independent,26.0,18-29,Male
Sociological institute,5.5,4.875,4.0,5.0,4.0,4.0,4.0,4.0,Independent,59.0,45-59,Male
Interdisciplinary institute,4.5,4.25,4.0,5.0,4.0,3.0,3.0,3.0,Democrat,38.0,30-44,Male
Interdisciplinary institute,7.0,7.0,6.0,6.0,5.0,4.0,4.0,4.0,Independent,48.0,45-59,Male
Sociological institute,6.333333333333333,5.125,4.0,6.0,3.0,4.5,5.0,4.0,Independent,35.0,30-44,Male
Economic institute,5.166666666666667,4.0,4.0,5.0,5.0,3.0,3.0,3.0,Democrat,27.0,18-29,Male
Economic institute,7.0,5.875,5.0,6.0,5.0,1.5,2.0,1.0,Democrat,30.0,30-44,Male
Sociological institute,7.0,7.0,7.0,7.0,5.0,2.0,2.0,2.0,Democrat,42.0,30-44,Female
Interdisciplinary institute,6.666666666666667,4.875,5.0,7.0,4.0,2.5,3.0,2.0,Democrat,59.0,45-59,Female
Sociological institute,6.0,5.375,4.0,5.0,3.0,2.0,1.0,3.0,Democrat,25.0,18-29,Female
Interdisciplinary institute,6.833333333333333,6.125,5.0,6.0,5.0,4.0,4.0,4.0,Independent,52.0,45-59,Female
Sociological institute,6.0,5.5,3.0,6.0,4.0,3.0,3.0,3.0,Democrat,28.0,18-29,Male
Interdisciplinary institute,6.833333333333333,6.0,5.0,3.0,4.0,4.0,4.0,4.0,Independent,41.0,30-44,Female
Sociological institute,5.833333333333333,5.375,6.0,7.0,4.0,2.0,3.0,1.0,Democrat,24.0,18-29,Male
Interdisciplinary institute,5.666666666666667,4.25,4.0,6.0,4.0,5.5,6.0,5.0,Republican,72.0,60+,Female
Interdisciplinary institute,7.0,7.0,6.0,7.0,5.0,3.0,3.0,3.0,Democrat,28.0,18-29,Female
Economic institute,6.0,6.125,6.0,6.0,7.0,5.5,6.0,5.0,Republican,42.0,30-44,Male
Interdisciplinary institute,6.0,5.125,4.0,7.0,4.0,5.0,5.0,5.0,Republican,48.0,45-59,Male
Economic institute,5.5,2.875,3.0,3.0,2.0,2.0,2.0,2.0,Democrat,30.0,30-44,Male
Interdisciplinary institute,5.833333333333333,5.125,4.0,5.0,4.0,2.5,2.0,3.0,Democrat,25.0,18-29,Female
Interdisciplinary institute,7.0,5.875,5.0,7.0,4.0,3.0,3.0,3.0,Democrat,26.0,18-29,Male
Economic institute,6.833333333333333,4.375,6.0,6.0,4.0,4.0,4.0,4.0,Independent,28.0,18-29,Male
Sociological institute,4.0,4.0,5.0,7.0,4.0,3.0,3.0,3.0,Democrat,45.0,45-59,Female
Sociological institute,7.0,6.125,6.0,6.0,3.0,1.0,1.0,1.0,Democrat,29.0,18-29,Male
Sociological institute,5.0,5.75,4.0,6.0,3.0,5.5,5.0,6.0,Republican,73.0,60+,Female
Sociological institute,7.0,6.375,6.0,7.0,6.0,1.5,2.0,1.0,Democrat,50.0,45-59,Male
Sociological institute,5.333333333333333,4.625,4.0,5.0,4.0,4.0,4.0,4.0,Independent,30.0,30-44,Female
Economic institute,6.666666666666667,6.5,6.0,6.0,6.0,2.5,3.0,2.0,Democrat,61.0,60+,Male
Sociological institute,5.833333333333333,6.0,5.0,7.0,5.0,2.5,2.0,3.0,Democrat,27.0,18-29,Male
Interdisciplinary institute,7.0,6.125,6.0,6.0,2.0,6.5,7.0,6.0,Republican,42.0,30-44,Female
Economic institute,4.166666666666667,3.75,6.0,5.0,5.0,3.5,3.0,4.0,Independent,30.0,30-44,Female
Economic institute,6.166666666666667,5.375,6.0,6.0,3.0,3.5,4.0,3.0,Democrat,51.0,45-59,Female
Interdisciplinary institute,6.0,6.0,6.0,6.0,6.0,2.5,3.0,2.0,Democrat,54.0,45-59,Female
Interdisciplinary institute,6.666666666666667,6.625,7.0,7.0,7.0,4.0,7.0,1.0,Democrat,25.0,18-29,Male
Economic institute,6.666666666666667,6.0,5.0,6.0,5.0,5.0,4.0,6.0,Republican,53.0,45-59,Female
Sociological institute,5.666666666666667,4.0,3.0,2.0,3.0,4.5,4.0,5.0,Republican,48.0,45-59,Female
Economic institute,6.333333333333333,4.875,4.0,5.0,4.0,1.5,2.0,1.0,Democrat,67.0,60+,Female
Sociological institute,3.3333333333333335,3.0,4.0,2.0,4.0,4.0,4.0,4.0,Independent,26.0,18-29,Male
Economic institute,5.833333333333333,4.875,4.0,6.0,4.0,5.0,5.0,5.0,Republican,65.0,60+,Female
Interdisciplinary institute,7.0,4.75,4.0,4.0,4.0,3.0,2.0,4.0,Independent,53.0,45-59,Female
Economic institute,6.833333333333333,4.25,5.0,5.0,2.0,1.5,2.0,1.0,Democrat,65.0,60+,Female
Interdisciplinary institute,7.0,6.375,6.0,5.0,5.0,1.0,1.0,1.0,Democrat,40.0,30-44,Male
Economic institute,6.833333333333333,5.375,4.0,5.0,3.0,3.0,3.0,3.0,Democrat,29.0,18-29,Male
Sociological institute,6.833333333333333,6.25,5.0,7.0,6.0,2.0,2.0,2.0,Democrat,33.0,30-44,Female
Sociological institute,6.333333333333333,5.75,6.0,5.0,4.0,1.5,2.0,1.0,Democrat,35.0,30-44,Male
Interdisciplinary institute,6.833333333333333,5.875,4.0,5.0,5.0,3.0,3.0,3.0,Democrat,49.0,45-59,Female
Interdisciplinary institute,3.5,2.625,4.0,6.0,2.0,3.0,4.0,2.0,Democrat,45.0,45-59,Female
Interdisciplinary institute,5.0,4.75,5.0,2.0,1.0,4.0,4.0,4.0,Independent,24.0,18-29,Female
Economic institute,7.0,7.0,7.0,4.0,7.0,2.0,2.0,2.0,Democrat,31.0,30-44,Female
Economic institute,6.166666666666667,6.0,5.0,6.0,5.0,2.0,2.0,2.0,Democrat,28.0,18-29,Male
Sociological institute,6.833333333333333,6.25,7.0,7.0,4.0,6.0,6.0,6.0,Republican,29.0,18-29,Male
Interdisciplinary institute,6.833333333333333,6.0,6.0,5.0,4.0,2.0,2.0,2.0,Democrat,39.0,30-44,Male
Interdisciplinary institute,6.0,4.5,6.0,5.0,4.0,1.5,1.0,2.0,Democrat,31.0,30-44,Male
Sociological institute,7.0,6.5,6.0,7.0,4.0,3.5,4.0,3.0,Democrat,51.0,45-59,Male
Economic institute,4.166666666666667,4.125,4.0,4.0,4.0,2.0,3.0,1.0,Democrat,29.0,18-29,Female
Economic institute,7.0,5.875,6.0,6.0,6.0,4.0,4.0,4.0,Independent,47.0,45-59,Male
Sociological institute,5.666666666666667,6.625,4.0,5.0,4.0,3.0,3.0,3.0,Democrat,27.0,18-29,Female
Sociological institute,5.333333333333333,5.5,5.0,6.0,5.0,4.0,4.0,4.0,Independent,31.0,30-44,Male
Interdisciplinary institute,7.0,6.125,5.0,6.0,4.0,1.5,2.0,1.0,Democrat,52.0,45-59,Female
Sociological institute,7.0,6.125,7.0,7.0,6.0,1.5,1.0,2.0,Democrat,44.0,30-44,Male
Sociological institute,7.0,7.0,7.0,7.0,4.0,4.0,4.0,4.0,Independent,35.0,30-44,Female
Economic institute,,4.5,5.0,6.0,4.0,4.0,4.0,4.0,Independent,28.0,18-29,Male
Interdisciplinary institute,6.0,3.625,3.0,6.0,2.0,6.5,7.0,6.0,Republican,40.0,30-44,Male
Economic institute,6.0,6.0,5.0,6.0,7.0,1.0,1.0,1.0,Democrat,30.0,30-44,Female
Economic institute,5.666666666666667,4.25,6.0,7.0,4.0,3.0,2.0,4.0,Independent,22.0,18-29,Male
Interdisciplinary institute,7.0,7.0,5.0,1.0,1.0,2.5,3.0,2.0,Democrat,45.0,45-59,Female
Sociological institute,7.0,7.0,7.0,7.0,6.0,2.0,2.0,2.0,Democrat,27.0,18-29,Female
Economic institute,3.8333333333333335,1.875,6.0,7.0,2.0,2.0,3.0,1.0,Democrat,56.0,45-59,Female
Interdisciplinary institute,4.5,4.375,6.0,6.0,5.0,5.5,5.0,6.0,Republican,36.0,30-44,Male
Sociological institute,6.166666666666667,5.0,6.0,6.0,5.0,1.5,2.0,1.0,Democrat,39.0,30-44,Other
